Background|Lifestyle|Prerequisite|Feature|SkillProficiencies|Tools|Description
Runner|Príšerný (Horrible)|None|Evasive Reflexes – Once per day, you can use the Disengage action as a free action, allowing you to quickly escape from enemies without provoking opportunity attacks.|Stealth, Acrobatics, Survival|Thieves' tools|You spent your life on the run, always looking over your shoulder to see if anyone was coming. You avoided conflicts and only entered a fight when necessary, but even then, you always found a way out. Life in misery never let you get away far; problems always found you, and you had to run again. Living in the shadows, you’ve learned every shortcut, hidden alley, and escape route. The streets are your home, and your instincts keep you alive.
Desperate|Príšerný (Horrible)|None|Desperate Bargain – Your persuasive abilities are sharpened by your desperation. Once per day, when using Persuasion, you can add double your proficiency bonus to the roll. However, your Desperate nature means you have a disadvantage on all Intimidation checks, and no bonuses (other than your proficiency) can be applied to Intimidation.|Persuasion, Deception, Insight|Disguise kit|Desperation is your constant companion. You’ve learned to survive by any means necessary, whether that’s begging, manipulating, or pleading for mercy. You know how to read people and turn their sympathy or fear to your advantage. Your life has been a series of close calls, and you’ve made a habit of talking your way out of the worst situations. You’re not proud of everything you’ve done, but when it’s a matter of life and death, pride means little.
Killer|Príšerný (Horrible)|None|Lethal Strike – Once per day, when you attack a surprised enemy, you deal an additional 2d6 damage on your first attack. This bonus damage represents your ability to strike quickly and without hesitation.|Stealth, Intimidation, Sleight of Hand|Poisoner’s kit|Violence has always been your answer to the world’s problems. You didn’t choose the life of a killer; it was forced upon you by necessity. You’ve learned that the quickest way to end a threat is to strike first, without hesitation. There’s a coldness inside you, a place where fear and regret can’t reach. Every day is a battle for survival, and you’ve become a master at eliminating anyone who stands in your way. Others fear you, and that suits you just fine.
Sick|Príšerný (Horrible)|None|Immunity Through Misery – Once per day, you can choose to automatically succeed on a saving throw against disease or poison. Additionally, you have advantage on all Constitution saving throws related to resisting disease or poison.|Medicine, Survival, Nature|Herbalism kit|Plagued by illness and hardship, your life has been a constant battle against the weaknesses of your own body. Disease and poverty have ravaged your health, but instead of breaking you, they’ve made you tougher. You’ve grown accustomed to the pain, and now it barely fazes you. In fact, you’ve developed an almost unnatural resistance to sickness, enduring where others would fail. You are a survivor, not because of your strength, but because of your unyielding spirit.
Beggar|Príšerný (Horrible)|None|Street Savvy - Once per day, you can use your insight to subtly influence a conversation with a simple but effective emotional appeal, giving you advantage on a Persuasion check when asking for a small favor, money, or shelter. Additionally, while in city or town you know the locations of hidden, safe spots where you and your companions can rest unnoticed for a night.|Persuasion, Insight, Deception|Disguise kit or Tinker’s tools|Life as a beggar is a constant struggle, defined by pleading for kindness and surviving off the small mercies of others. You’ve spent years navigating crowded streets and alleys, learning to read people quickly and gauge who might spare a coin or some food. Your ability to adapt to different situations and talk your way into small favors has kept you alive. Living at the bottom of society has taught you resilience and how to find hidden opportunities where others see only hardship.
Toilet Scrubber|Biedny (Poor)|None|Indomitable Endurance – Through constant mockery and harsh conditions, your mind and body have become resilient. You have advantage on saving throws against being Frightened and on Strength checks related to carrying or lifting heavy objects. Additionally, you can carry 10% more than your carrying capacity.|Athletics, Intimidation, Sleight of Hand|Tinker’s tools|You’ve spent your life in the filthiest corners of society, doing the jobs no one else wants. Mocked and overlooked, you’ve developed a thick skin and a strong back. While others might see your work as degrading, you’ve grown tough from it—both mentally and physically. Every insult, every degrading task, has only made you more resilient. You are no stranger to hard work, and you know the value of perseverance in a world that seems determined to keep you down.
Plague Burner|Biedny (Poor)|None|Fire in the Eyes – You gain advantage on Intimidation checks when holding fire (such as a torch or alchemist’s fire) or standing above a corpse. Additionally, you can start fires in adverse conditions, such as in wet or windy environments, with ease.|Medicine, Intimidation, Survival|Alchemist’s supplies|You walk among the diseased and the dead, tasked with burning away the plague that others fear to touch. Your job is grim, but necessary. People often avert their eyes when you pass, not wanting to be reminded of the death and fire that follow in your wake. But without you, sickness would run rampant. You’ve grown used to the smell of smoke and the sight of corpses, and your work has made you fearless. To survive in your line of work, you must be as relentless as the flames you wield.
Leech Collector|Biedny (Poor)|None|Swamp Stalker – You have advantage on Stealth and Survival checks when in swampy or marshland environments. Additionally, you can move through difficult terrain in these areas without penalty.|Nature, Survival, Medicine|Herbalism kit|Deep in the swamps, where others fear to tread, you’ve made a living pulling leeches from the murky water. It’s a dangerous, dirty job, but it’s yours. You’ve grown accustomed to the wet, the cold, and the creatures that lurk in the muck. The marshlands have taught you patience and caution, for one misstep can mean the end. But for those who know where to look, the swamp offers its own kind of bounty, and you’ve learned to navigate its dangers better than anyone.
Rat Catcher|Biedny (Poor)|None|Beast Tracker – You have advantage on Perception and Survival checks when tracking any Small or Medium-sized beasts in urban or rural environments. Your knowledge of creatures extends to most common animals, and you can quickly identify signs of infestations or nearby animals.|Perception, Animal Handling, Stealth|Tinker’s tools|You’ve spent your life chasing pests through the dark corners of cities and sewers. It’s a dirty job, but someone has to keep the rats at bay. You know every nook and cranny of urban environments, hunting down vermin with practiced skill. The city is a living thing, full of hidden dangers, and you’ve learned to move through it like a shadow. You’ve grown sharp-eyed and quick-handed, always ready to catch the next scurrying creature that threatens the food stores or homes of those who can pay.
Executioner|Chudobný (Modest/Poor)|None|Feared Authority – You gain advantage on Intimidation checks against commoners and criminals. Additionally, you gain advantage on Intimidation checks when holding a two-handed weapon against a hostile creature, as your skill with such weapons amplifies your terrifying presence. You are also proficient with heavy weapons (such as greataxes or greatswords).|Intimidation, Athletics, Performance|Smith’s tools|You are the embodiment of justice, the final arbiter of fate. People fear you, for your role is to bring death by order of the law. Though despised by some, you are respected by those who understand the need for your work. The weight of your duties has hardened your heart; you’ve learned to distance yourself from the grim task of ending lives. Every swing of your axe is a reminder that life is fleeting, and you’ve grown comfortable with the uncomfortable truth that all men die.
