Image|Name|Owner|Rarity|Type|Origin|Speed|Movement|Combat|Trait|Weakness
Regular Horse|Regular Horse|Anyone in city or close proximity|Common|Domestic Horse|Common throughout Axria; especially widespread on the temperate roads and farms around Jazierchat.|40|Gallop|No|None special|None special
Warhorse|Warhorse|Soldiers, knights, wealthy hunters|Common|Domestic Horse (Warhorse Breed)|Bred in Jazierchat and other fortified cities from heavy horse lines for guards, hunters, and cavalry.|38|Gallop, charge|Yes|Trained not to panic in battle; can carry an armored rider|Expensive; requires training and considerable food
Pony|Pony|Anyone, especially smaller races|Common|Domestic Pony|Common in smaller settlements and mountain foothills, especially around Skalodom and Vyskyna.|30|Gallop, rough trails|No|Hardy, inexpensive, excellent footing, easy to maintain|Low carrying capacity and slower than a horse
Mule|Mule|Traders, travelers, hunters|Common|Mule (Horse–Donkey Hybrid)|Common caravan hybrid on the mountain and mining routes linking Skalodom, Vyskyna, and Zaskyna.|32|Rough trails, mountain paths|No|Excellent endurance, strong carrying capacity, reliable footing|Stubborn; poor acceleration and unsuitable for serious combat
Donkey|Donkey|Farmers, traders, common travelers|Common|Domestic Donkey|Common work animal in Axrian farms and trade towns, particularly around Pieskostan and Severana.|25|Rough trails|No|Cheap, hardy, low food requirements, good pack animal|Slow and limited carrying speed
Camel|Camel|Desert travelers, merchants|Common|Desert Camel|Bred along the desert trade routes of Pieskostan and Severana, where water economy matters more than speed.|38|Sand travel|No|Exceptional heat tolerance, long periods without water, excellent desert endurance|Performs poorly in cold, wet, or steep terrain
Dromedary War Camel|Dromedary War Camel|Desert soldiers and hunters|Common|Dromedary Camel (War Breed)|Purpose-bred military line from Pieskostan and Severana, used along desert walls and caravan approaches.|36|Sand travel, charge|Yes|Heat resistance, intimidation against unfamiliar animals, carries heavy rider and equipment|Temperamental; poor in cold and slippery terrain
Riding Elk|Riding Elk|Forest peoples, northern settlements|Common|Riding Elk|Domesticated in the forests between Lesohaj and Juhiera, where dense woodland favors agile mounts over horses.|36|Forest stride, high jump|Limited|Moves through brush better than horses, good hearing, strong seasonal endurance|Nervous around fire and loud combat; antlers complicate dense terrain
Reindeer|Reindeer|Northern peoples|Common|Reindeer|Cold-adapted herds from the approaches to Chladohrad and its sub-zero wilderness.|32|Snow travel|No|Excellent cold tolerance, good footing on snow, modest food needs|Poor heat tolerance and less powerful than a horse
Giant Goat|Giant Goat|Mountain settlements|Common|Giant Mountain Goat|Bred around Skalodom, Vyskyna, and Zaskyna for steep mining paths and cliff settlements.|28|Climb, cliff-step|Limited|Exceptional balance, climbs terrain almost unusable by horses, hardy|Slow on open roads; limited carrying capacity
Yak|Yak|Mountain settlements, caravans|Common|Domestic Yak|High-mountain pack breed used on the cold routes toward Chladohrad and the Vyskyna tunnel country.|25|Snow travel, mountain paths|Limited|Huge carrying capacity, cold resistant, extremely hardy|Slow; suffers badly in hot climates
Ox|Ox|Farmers, caravans|Common|Domestic Ox|Common agricultural draft animal around Jazierchat and the southern farming islands of Sostrov.|20|Heavy pull|Limited|Tremendous pulling strength, cheap to maintain, dependable|Very slow and poor for pursuit or emergency travel
Great Boar|Great Boar|Forest clans, rough cavalry|Common|Giant Riding Boar|Forest-clan mount from Lesohaj and Juhiera woodland, where boars handle brush better than horses.|30|Charge, brush movement|Yes|Aggressive, strong, difficult to frighten, excellent through undergrowth|Difficult temperament; less endurance than horses
Wulf|Wulf|Hunters, frontier peoples|Common|Domesticated Wulf|Large wolf breed kept by frontier hunters in the mountain forests around Dolinoraj and the northern roads.|34|Sprint, leap, forest movement|Yes|Excellent senses, aggressive defense, tracking, good rough-terrain mobility|Lower carrying capacity than a horse; requires much more meat
Great Hound|Great Hound|Scouts, hunters, smaller riders|Common|Giant Hunting Hound|Purpose-bred by Axrian hunters; strong lines are common around Jazierchat’s academy roads and Juhiera’s hunting forests.|32|Sprint, leap|Yes|Excellent tracking, loyal, agile in forests and settlements|Cannot comfortably carry large or heavily armored riders
Riding Rhino|Riding Rhino|Heavy cavalry, wealthy hunters|Common|Riding Rhinoceros|Warm-country cavalry beast from the savanna edge south of Pieskostan, later adopted by heavy hunters.|24|Charge, rough-ground push|Yes|Enormous strength, natural armor, devastating charge, exceptional carrying capacity|Slow, difficult to turn, eats enormously, poor on narrow paths
Elephant|Elephant|Armies, wealthy caravans|Common|Riding Elephant|Native to the warm southern forests and savanna approaches around Stromoraj and Pieskostan.|25|Heavy terrain crossing|Yes|Massive carrying capacity, very intelligent, can transport several people or large loads|Huge food requirements, expensive, difficult in mountains and narrow streets
